sourcePostTitle,sourcePostSlug,anchorText,originalHref,normalisedHref,parentText,beforeText,afterText,order,classification,destinationVerified,htmlFragment
10% Better or Don’t Bother,10-better-or-dont-bother,"""Sell Value, Not Time,""",https://www.nexubis.io/post/stop-selling-time-start-delivering-value,/post/stop-selling-time-start-delivering-value,"So when we overhauled our entire business model - shifting from the dark ages of hourly billing to a clean, flexible subscription - it wasn’t just a pricing change. It was a full systems rethink. (If you haven’t read ""Sell Value, Not Time,"" now’s your chance to catch up before your competitors do.)",on - it wasn’t just a pricing change. It was a full systems rethink. (If you haven’t read , now’s your chance to catch up before your competitors do.),1,INTERNAL_BLOG,LIVE_200,"<p id="""">So when we overhauled our entire business model - shifting from the dark ages of hourly billing to a clean, flexible subscription - it wasn’t just a pricing change. It was a full systems rethink. (If you haven’t read<a href=""https://www.nexubis.io/post/stop-selling-time-start-delivering-value""> ""Sell Value, Not Time,""</a> now’s your chance to catch up before your competitors do.)</p>"
Automation Is Not the Enemy,automation-is-not-the-enemy,“The New Creative Stack”,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,"If you haven’t read it yet, go check out “The New Creative Stack”. It sets the stage.","If you haven’t read it yet, go check out ",. It sets the stage.,1,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read it yet, go check out <a id="""" href=""https://www.nexubis.io/post/the-new-creative-stack"">“The New Creative Stack”</a>. It sets the stage.</p>"
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,Oxipack: Funding Nexubis,https://www.nexubis.io/post/oxipack-empowering-nexubis,/post/oxipack-empowering-nexubis,Oxipack article → Oxipack: Funding Nexubis,Oxipack article → ,,1,INTERNAL_BLOG,LIVE_200,"<p id="""">Oxipack article → <a id="""" href=""https://www.nexubis.io/post/oxipack-empowering-nexubis"">Oxipack: Funding Nexubis</a><br></p>"
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,Altify: Empowering Nexubis,https://www.nexubis.io/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,Altify article → Altify: Empowering Nexubis,Altify article → ,,2,INTERNAL_BLOG,LIVE_200,"<p id="""">Altify article → <a id="""" href=""https://www.nexubis.io/post/altify-empowering-nexubis"">Altify: Empowering Nexubis</a><br></p>"
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,Circuit: Securing Nexubis,https://www.nexubis.io/post/circuit-securing-nexubis,/post/circuit-securing-nexubis,Circuit article → Circuit: Securing Nexubis,Circuit article → ,,3,INTERNAL_BLOG,LIVE_200,"<p id="""">Circuit article → <a id="""" href=""https://www.nexubis.io/post/circuit-securing-nexubis"">Circuit: Securing Nexubis</a><br><br></p>"
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,Dick Proves the Agency Stereotype,https://youtu.be/G1FICHGeMIk,https://youtu.be/G1FICHGeMIk,"And if you want a laugh that hurts a little, here is the Meet Richard video → Dick Proves the Agency Stereotype","And if you want a laugh that hurts a little, here is the Meet Richard video → ",,4,EXTERNAL,PRESERVED_EXTERNAL,"<p id="""">And if you want a laugh that hurts a little, here is the <strong id="""">Meet Richard</strong> video → <a id="""" href=""https://youtu.be/G1FICHGeMIk"">Dick Proves the Agency Stereotype</a></p>"
Don’t Turn Into a Robot,dont-turn-into-a-robot,"firing fast, promoting faster",/post/fire-faster-promote-faster,/post/fire-faster-promote-faster,"I’ve written before about firing fast, promoting faster, and building leadership from within.But the secret sauce behind all of it?Respect.We don’t just demand excellence. We invest in it.",I’ve written before about ,", and building leadership from within.But the secret sauce behind all of it?Respect.We don",1,INTERNAL_BLOG,LIVE_200,"<p id="""">I’ve written before about <a id="""" href=""/post/fire-faster-promote-faster"">firing fast, promoting faster</a>, and <a id="""" href=""/post/building-a-leadership-team"">building leadership from within</a>.<br>But the secret sauce behind all of it?<br><strong id="""">Respect.</strong><br>We don’t just demand excellence. <em id="""">We invest in it.</em></p>"
Don’t Turn Into a Robot,dont-turn-into-a-robot,building leadership from within,/post/building-a-leadership-team,/post/building-a-leadership-team,"I’ve written before about firing fast, promoting faster, and building leadership from within.But the secret sauce behind all of it?Respect.We don’t just demand excellence. We invest in it.","I’ve written before about firing fast, promoting faster, and ",.But the secret sauce behind all of it?Respect.We don’t just demand excellence. We invest ,2,INTERNAL_BLOG,LIVE_200,"<p id="""">I’ve written before about <a id="""" href=""/post/fire-faster-promote-faster"">firing fast, promoting faster</a>, and <a id="""" href=""/post/building-a-leadership-team"">building leadership from within</a>.<br>But the secret sauce behind all of it?<br><strong id="""">Respect.</strong><br>We don’t just demand excellence. <em id="""">We invest in it.</em></p>"
Empowering Women with Project Flamingo,empowering-women-with-project-flamingo,because the reason outweighs the grind.,https://www.nexubis.io/post/most-of-my-job-sucks,/post/most-of-my-job-sucks,I’ve written before about why founders keep showing up even when the job sucks: because the reason outweighs the grind.,I’ve written before about why founders keep showing up even when the job sucks: ,,1,INTERNAL_BLOG,LIVE_200,"<p id="""">I’ve written before about why founders keep showing up even when the job sucks: <a href=""https://www.nexubis.io/post/most-of-my-job-sucks"">because the reason outweighs the grind.</a></p>"
"For Professionals, By Professionals",for-professionals-by-professionals,the myth of the perfect hire,https://www.nexubis.io/post/the-myth-of-the-perfect-hire,/post/the-myth-of-the-perfect-hire,"We’ve written about this before in Founders Diary.Like how “the myth of the perfect hire” isn’t about finding unicorns… it's about hiring smart, adaptable people who grow with the company.Or how “working hard” isn’t the flex people think it is… if your output is low and your tools are prehistoric, you’re just wasting daylight.",We’ve written about this before in Founders Diary.Like how “,"” isn’t about finding unicorns… it's about hiring smart, adaptable people who grow with th",1,INTERNAL_BLOG,LIVE_200,"<p id="""">We’ve written about this before in <em id="""">Founders Diary</em>.<br>Like how “<a href=""https://www.nexubis.io/post/the-myth-of-the-perfect-hire"">the myth of the perfect hire</a>” isn’t about finding unicorns… it's about hiring smart, adaptable people who grow with the company.<br>Or how “<a href=""https://www.nexubis.io/post/straight-line-thinking"">working hard</a>” isn’t the flex people think it is… if your output is low and your tools are prehistoric, you’re just wasting daylight.</p>"
