documentId,title,slug,publishedAt,updatedAt,author,category,mainImage,excerptOrMetaDescription,state,originalWebflowSlug
post-the-nexubis-effect,The Nexubis Effect,the-nexubis-effect,2026-02-05T08:06:28.000Z,2026-01-22T09:00:02.000Z,Hannes Oosthuizen,Company,present,"Many companies have great products and visions, but struggle to keep their websites, marketing, and rollout materials aligned with their growth. Nexubis solves this by embedding deeply into your team’s workflow, delivering creative and deve",published,the-nexubis-effect
post-circuit-securing-nexubis,Circuit: Securing Nexubis,circuit-securing-nexubis,2025-11-06T10:44:45.000Z,2025-11-06T10:44:09.000Z,Hannes Oosthuizen,Empowering Dreams,present,"We first met Circuit back when the rooms were smaller, the coffee stronger, and “five-minute chats” somehow turned into midnight presentations. The kind of early-stage chaos you weirdly miss later. They didn’t just open the door; they kept ",published,circuit-securing-nexubis
post-oxipack-empowering-nexubis,Oxipack: Funding Nexubis,oxipack-empowering-nexubis,2025-11-06T10:44:45.000Z,2025-11-06T10:44:19.000Z,Hannes Oosthuizen,Empowering Dreams,present,"Ah, Oxipack. The kind of client that reminds you why you started doing this in the first place. No drama, no ego, just trust. They hand you the keys, say “go build something cool,” and somehow don’t hover over your shoulder while you do it.",published,oxipack-empowering-nexubis
post-altify-empowering-nexubis,Altify: Empowering Nexubis,altify-empowering-nexubis,2025-11-06T10:44:45.000Z,2025-11-06T10:44:28.000Z,Hannes Oosthuizen,Empowering Dreams,present,"Damn. Let’s talk about Altify. This one hits close to home and it is a personal client for me. Back when they were still Revix in 2023, they became Nexubis’s first retainer. But they weren’t just Client Number One. They were the launchpad. ",published,altify-empowering-nexubis
post-ai-is-not-a-phase-its-an-era,AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,2026-05-26T09:00:03.000Z,2026-05-26T09:00:03.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"11:00 PM on a Wednesday, and for the first time in three years, I’m not 'clearing a queue'—I’m actually building. The gap between those who use AI as a chatbot and those who use it as an engine is widening. From 100/100 performance scores t",published,ai-is-not-a-phase-its-an-era
post-metamorphosis,Metamorphosis,metamorphosis,2026-05-07T09:00:20.000Z,2026-05-07T09:00:20.000Z,Hannes Oosthuizen,Founders Diary,present,"Nexubis wasn’t broken. It was speaking to the wrong room. The brand we built wins global FinTech and Web3 work. It was never meant for local businesses. So we stopped forcing it and split the path. LekkeWeb is that split. Same systems, diff",published,metamorphosis
post-beyond-the-eu30-000,Beyond the €30 000 ,beyond-the-eu30-000,2026-04-23T09:12:48.000Z,2026-04-23T09:12:48.000Z,Hannes Oosthuizen,Founders Diary,present,"Oxipack moved from hourly billing to a fixed design subscription and saved €14,975 while increasing output by 35%. This case study breaks down how removing scope friction transformed their workflow, output, and long-term growth.",published,beyond-the-eu30-000
post-the-cost-of-refusing-to-adapt,The Cost of Refusing to Adapt,the-cost-of-refusing-to-adapt,2026-04-09T09:00:02.000Z,2026-04-09T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Resisting AI may feel principled, but it can quietly limit your growth. Explore why adaptability, not opposition, is what keeps creatives and founders competitive in a shifting landscape. AI is not just another tool, it is a shift in how wo",published,the-cost-of-refusing-to-adapt
post-the-gold-bar-theory,The Gold Bar Theory,the-gold-bar-theory,2026-04-02T09:00:01.000Z,2026-04-02T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"The Gold Bar Theory highlights a simple but overlooked truth: just because something is valuable does not mean people will move toward it. In business, the right solution can be ignored. In life, the things we say we want often require chan",published,the-gold-bar-theory
post-partnership-over-transaction,Partnership Over Transaction,partnership-over-transaction,2026-03-26T10:25:55.000Z,2026-03-26T10:25:55.000Z,Hannes Oosthuizen,Founders Diary,present,"Business isn’t just about delivery, margins, or sales - it’s about people. True partnership means showing up, communicating clearly, and building trust over time. When relationships matter more than transactions, work improves, loyalty stre",published,partnership-over-transaction
post-impact-builds-network,Impact Builds Network,impact-builds-network,2026-03-12T09:00:02.000Z,2026-03-12T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Most people think networking happens at events. In reality, the strongest networks are built through the impact you make at work. By speaking up, thinking beyond your job description, and consistently creating value, trust compounds into re",published,impact-builds-network
post-just-do-it,Just Do It,just-do-it,2026-03-05T09:00:02.000Z,2026-03-05T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"We’ve walked on the moon - yet we still say “that’s impossible” about everyday problems. Most barriers aren’t capability issues. They’re discomfort issues. This piece explores why panic mode keeps you stuck, why mistakes are the shortcut to",published,just-do-it
