sourcePostSlug,originalAnchorText,originalDestination,currentLinkedText,finalStoredDestination,classification,changedOrUnchanged,sanityDocumentRevision,originalRevision,liveVerificationResult,reason
dont-turn-into-a-robot,"firing fast, promoting faster",/post/fire-faster-promote-faster," firing fast, promoting faster",/post/fire-faster-promote-faster,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
dont-turn-into-a-robot,building leadership from within,/post/building-a-leadership-team, building leadership from within,/post/building-a-leadership-team,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
for-professionals-by-professionals,the myth of the perfect hire,https://www.nexubis.io/post/the-myth-of-the-perfect-hire,the myth of the perfect hire,/post/the-myth-of-the-perfect-hire,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
for-professionals-by-professionals,working hard,https://www.nexubis.io/post/straight-line-thinking,working hard,/post/straight-line-thinking,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
startups-dont-need-more-features,If it ain’t broke — refine it.,https://www.nexubis.io/post/if-it-aint-broke-refine-it,If it ain’t broke — refine it,/post/if-it-aint-broke-refine-it,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
stop-selling-time-start-delivering-value,Referral Program →,https://www.nexubis.io/post/the-nexubis-referral-program, Referral Program,/post/the-nexubis-referral-program,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
the-age-of-agi,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack, New Creative Stack,/post/the-new-creative-stack,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
the-age-of-agi,Automation is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy, Automation is Not the Enemy,/post/automation-is-not-the-enemy,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
the-work-life-balance-lie,you can read it here,/post/keep-firing-yourself, you can read it here,/post/keep-firing-yourself,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
welcome-to-dreamlab,"""How It All Started (and Almost Didn’t)""",http://www.nexubis.io/post/how-it-all-started-and-almost-didnt,How It All Started (and Almost Didn’t),/post/how-it-all-started-and-almost-didnt,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
welcome-to-dreamlab,“What early stage founders spend too much time on”,http://www.nexubis.io/post/what-early-stage-founders-spend-way-too-much-time-on,What early stage founders spend too much time on,/post/what-early-stage-founders-spend-way-too-much-time-on,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
welcome-to-dreamlab,“How We Landed on Empowering Dreams — and Why It Stuck”,http://www.nexubis.io/post/how-we-landed-on-empowering-dreams,How We Landed on Empowering Dreams,/post/how-we-landed-on-empowering-dreams,ALREADY_PRESENT_DIFFERENT_TEXT,unchanged,3bCoaP0PgZBijIHsbYfcsc,3bCoaP0PgZBijIHsbYfcsc,VERIFIED,Equivalent current text was already linked.
